SampleID	SampleDescription	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2	Comments	CCECAI	AlphamuricholicAcid	BetamuricholicAcid	ChenodeoxycholicAcid_primary	CholicAcid_primary	DeoxycholicAcid	GammamuricholicAcid	GlycochenodeoxycholicAcid	GlycocholicAcid	GlycodeoxycholicAcid	LithocholicAcid	OmegamuricholicAcid	TaurochenodeoxycholicAcid	TaurocholicAcid	TaurodeoxycholicAcid	TaurolithocholicAcid	His	Ser	Arg	Gly	Asp	Glu	Thr	Ala	Pro	Cys	Lys	Tyr	Met	Val	Ile	Leu	Phe	AceticAcid	PropionicAcid	IsobutyricAcid	ButyricAcid	IsovalericAcid	ValericAcid	IsocaproicAcid	CaproicAcid	HeptanoicAcid
12626	Charlie_dNA_DogFecal	C166_control_7	Healthy	Healthy	Unknown	Unknown	Charlie	DogFecal	Healthy	Normal	NA	2374.726555	0.5	0.5	655.113285	3620.49903	210.38945	0.5	0.5	0.5	664.296545	6385.084565	0.5	0.5	7.46857	0.5	0.5	10.07	7.74	14.48	0.5	43.045	21.405	0.5	25.945	6.705	70.605	86.57	44.135	74.605	58.345	112.24	90.23	72.805	20.395	15.885	30.815	1.125	1.345	2.705	0.5	0.5
12622	Charlotte_dNA_DogFecal	C166_control_3	Healthy	Healthy	Unknown	Unknown	Charlotte	DogFecal	Healthy	Normal	NA	977.37625	0.5	14.8196	652.45609	1687.173235	5.54094	0.5	0.5	0.97142	123.659485	0.5	0.753115	0.5	0.809335	0.5	0.5	0.5	47.375	19.955	13.055	19.585	7.935	0.5	29.755	0.5	10.645	15.42	15.605	297.115	11.935	6.57	5.72	338.095	0.5	270.005	729.63	4.32	15.32	10.605	1.625	0.5
12621	Chestnut_dNA_DogFecal	C166_control_2	Healthy	Healthy	Unknown	Unknown	Chestnut	DogFecal	Healthy	Normal	NA	3209.423065	0.5	113.07331	1222.05673	1080.916335	656.97854	3.028915	0.5	0.5	125.903155	0.5	14.50152	84.134365	0.5	0.5	0.5	7.31	22.575	23.985	6.93	30.39	47.595	5.055	21.255	0.5	88.11	103.785	56.89	90.46	52.715	120.23	92.47	179.57	0.5	61.425	503.09	6.69	0.5	0.5	0.5	0.5
12624	Crash_dNA_DogFecal	C166_control_5	Healthy	Healthy	Unknown	Unknown	Crash	DogFecal	Healthy	Normal	NA	1007.23722	106.770165	68.531745	443.87808	2974.323625	260.803145	0.5	0.5	0.5	748.07447	0.5	0.735655	0.5	1.58552	0.5	0.5	0.5	0.5	0.5	15.69	0.5	10.825	0.5	7.72	0.5	9.8	0.5	9.37	97.455	13.9	13.62	19.015	287.775	20.675	10.175	25.68	11.33	3.9	8.685	0.5	0.5
11728	Daphne_d0_DogFecal	C166_24	0	Diet	Husky	F	Daphne	DogFecal	Day0	Normal	5	619.00901	0.5	71.73647	743.02634	936.61652	6.42296	0.5	2.18709	0.56883	0.5	0.5	0.5	2.28592	0.96205	0.7273	14.93	39.61	35.15	55.82	11.46	98.94	127.93	256.35	43.05	3.41	98.9	101.34	54.03	214.34	79.84	179.86	123.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
11758	Daphne_d0_DogFecal	C166_24	0	Diet	Husky	F	Daphne	DogFecal	Day0	Normal	5	619.00901	0.5	71.73647	743.02634	936.61652	6.42296	0.5	2.18709	0.56883	0.5	0.5	0.5	2.28592	0.96205	0.7273	14.93	39.61	35.15	55.82	11.46	98.94	127.93	256.35	43.05	3.41	98.9	101.34	54.03	214.34	79.84	179.86	123.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
11729	Daphne_d14_DogFecal	C166_24	14	Diet	Husky	F	Daphne	DogFecal	Day14	Normal	3	293.55723	65.81053	71.14685	385.61338	932.18852	0.5	0.5725	2.26996	0.32412	25.22927	0.5	1.13922	6.28257	0.78146	2.20505	35.26	12.34	12.89	12.43	5.01	40.91	37.98	205.79	15.03	1.66	47.72	92.59	49.47	115.05	62.56	136.13	98.98	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
12188	Daphne_d14_DogFecal	C166_24	14	Diet	Husky	F	Daphne	DogFecal	Day14	Normal	3	293.55723	65.81053	71.14685	385.61338	932.18852	0.5	0.5725	2.26996	0.32412	25.22927	0.5	1.13922	6.28257	0.78146	2.20505	35.26	12.34	12.89	12.43	5.01	40.91	37.98	205.79	15.03	1.66	47.72	92.59	49.47	115.05	62.56	136.13	98.98	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
11730	Daphne_d28_DogFecal	C166_24	28	Diet	Husky	F	Daphne	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11731	Daphne_d42_DogFecal	C166_24	42	Diet	Husky	F	Daphne	DogFecal	Day42	Normal	1	0.5	456.721165	35.624945	138.611365	356.039365	118.15206	0.5	0.5	1.053995	67.211595	478.31965	0.5	0.5	0.5	0.47221	9.62	20.03	39.215	68.41	0.5	90.45	164.305	2690.045	46.885	6.22	114.155	178.405	123.065	273.745	139.16	327.965	231.035	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
12189	Daphne_d42_DogFecal	C166_24	42	Diet	Husky	F	Daphne	DogFecal	Day42	Normal	1	0.5	456.721165	35.624945	138.611365	356.039365	118.15206	0.5	0.5	1.053995	67.211595	478.31965	0.5	0.5	0.5	0.47221	9.62	20.03	39.215	68.41	0.5	90.45	164.305	2690.045	46.885	6.22	114.155	178.405	123.065	273.745	139.16	327.965	231.035	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
11700	Georgio_d0_DogFecal	C166_32	0	Diet	Greyhound	M	Georgio	DogFecal	Day0	Normal	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	154.005	283.775	547.025	158.415	0.615	0.5	0.5	0.5	0.5
11701	Georgio_d14_DogFecal	C166_32	14	Diet	Greyhound	M	Georgio	DogFecal	Day14	Normal	1	0.5	0.5	284.701155	966.015925	0.5	0.5	2.63318	3.588975	0.5	7.099335	680.52729	7.22954	18.56259	0.5	0.74503	0.5	22.475	39.415	26.22	0.5	78.685	140.645	3169.23	31.66	3.09	76.09	96.155	72.245	177.16	121.42	210.825	98.88	102.385	18.075	7.145	71.18	0.5	1.425	29.285	0.5	0.5
11794	Georgio_d28_DogFecal	C166_32	28	Diet	Greyhound	M	Georgio	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
